timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
16261499,16261210,0.99992967,0.0043642307,-0.010281541,-0.004004084,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16313385,16313090,0.999932,0.0041482463,-0.010297962,-0.0035941815,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16365130,16364834,0.99992937,0.0050322334,-0.010219351,-0.0033928687,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16413107,16412817,0.9999298,0.0054451465,-0.010123749,-0.002858892,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16464970,16464682,0.99994564,0.0048156176,-0.008705669,-0.0031369806,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16512948,16512654,0.9999455,0.0052367942,-0.008442738,-0.00320089,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16561807,16561393,0.9999523,0.0048653577,-0.0076405103,-0.0036762396,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16613618,16613325,0.99995565,0.0039582807,-0.0074563436,-0.0041863546,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16661517,16661226,0.99996126,0.0038907467,-0.006693291,-0.004198712,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16713120,16712828,0.99996114,0.00427968,-0.0059921406,-0.0048699197,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16760743,16760444,0.99995905,0.0038726756,-0.0060493,-0.005497279,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16813245,16812954,0.99996036,0.0043494087,-0.0052963085,-0.005700322,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16865389,16865096,0.9999677,0.0046126773,-0.0042123175,-0.0050715185,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16913116,16912826,0.99997133,0.004243487,-0.004143651,-0.0047169235,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
16961064,16960772,0.99997634,0.003984466,-0.0035811937,-0.0043372745,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17012749,17012453,0.9999798,0.00421418,-0.0028801623,-0.0038118507,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17061783,17061492,0.99998474,0.00353828,-0.0029423756,-0.0030807161,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17113233,17112946,0.99998534,0.0040081013,-0.0029432054,-0.0021774378,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17161146,17160854,0.99998504,0.0046738703,-0.002181226,-0.0018140568,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17214049,17213761,0.9999847,0.0047891196,-0.0020117424,-0.0019034202,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17261587,17261288,0.99998224,0.0050866324,-0.002840331,-0.0013175227,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17313359,17313072,0.9999815,0.0054608556,-0.0025018407,-0.00091400824,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17365359,17365066,0.99998295,0.0049768602,-0.0026831918,-0.0014745948,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17413565,17413279,0.99997884,0.005823484,-0.0027577502,-0.0009720053,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17460957,17460659,0.99998206,0.005518828,-0.0022024745,-0.0008503814,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17512802,17512509,0.9999818,0.0057749096,-0.0015660168,-0.00071304827,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
