timestamp,euler_re_roll,euler_re_pitch,euler_re_yaw,omega_re_p,omega_re_q,omega_re_r,sigma_re,,,,z_re,vz_re,dot_euler_re,,,eta_1,,,eta_4,doc
26778352,-0.000900247068843338,-0.00227615267745458,-0.0026901492268372,0.0221100658098113,0.0112083748988679,0.0459372093572327,0.508467128614158,0.519068494516451,0.495978085742772,0.506454795613161,1.12119405608946,-0.0474502124544058,0.0220055285366521,0.0112497251894725,0.0459272194086103,-0.0060398954226367,0.00294980770752925,-0.00771352584713148,0.00561917822631776,1
26828352,-0.000747944570471786,-0.0025389030558274,-0.00246150359870913,-0.0611100579374685,0.0460304612465961,-0.0188402982072617,0.50953743895822,0.531155453065654,0.491152287936336,0.535388949177066,1.11774515959769,-0.0411246600596017,-0.0610621367472505,0.0460163568739551,-0.0188747820014485,-0.0321610840014125,0.0222528979266042,-0.0363752741576654,0.0291306140767223,1
26878352,-0.000724125754906666,-0.00305572535248097,-0.00255940055063589,-0.00663616311094416,-0.131014372168795,-0.0362039009341347,0.498987007897751,0.547734701874962,0.475075440606097,0.580102680814292,1.11431035904194,-0.0409603712530455,-0.00652582351790644,-0.131040553994376,-0.0361091891532484,-0.0534466027302192,0.0291495599471392,-0.0817676245454161,0.0765876154020914,1
26928352,-0.00190612020602438,-0.00475779506814216,-0.00268857941165926,-0.0583993570742686,-0.0102580302900725,0.0602837369684921,0.523828767328065,0.54594034461796,0.49534887336436,0.603509721654724,1.11089691381429,-0.0406386072525009,-0.0586862694138666,-0.0101431036753091,0.0603038630175624,-0.0814353771553844,0.0288887632428701,-0.123521253840315,0.123105180617392,1
26978352,-0.00243918012593033,-0.00672438668365051,-0.00203306657936729,-0.0598732869805649,-0.00784216783954392,0.106280120192796,0.570169817525886,0.532984782197064,0.537703596663444,0.61397382976391,1.10762292145199,-0.0392885112622971,-0.0605880928804797,-0.00758290841077876,0.106301335796532,-0.0899006702081168,0.00130147941034154,-0.155599127280876,0.136312355652592,1
27028352,-0.00334891392389555,-0.00822721808482266,-0.00241670511466523,-0.113714875582275,-0.111035514516602,-0.110094336489258,0.588308455915531,0.541880516198899,0.55677610323978,0.623860662395091,1.10428170609467,-0.0378612937723513,-0.112812149449545,-0.111403587640316,-0.109725584921264,-0.0785629305422003,-0.0244170330259514,-0.187045932106007,0.121925084951796,1
27078352,-0.00516583613687343,-0.0101000627006416,-0.00450015179094749,-0.02274902453519,-0.0722869420410668,0.0368341339730942,0.588809814597559,0.564441656890172,0.561288331378034,0.633386477353628,1.10068062636846,-0.036135947199518,-0.0231248309867022,-0.0720956992694399,0.0372089611859279,-0.0750214042413299,-0.0508694458826107,-0.214829391190149,0.109264407861523,1
27128352,-0.00752773058785031,-0.0132517994589164,-0.00480172361258659,-0.0431031878942672,-0.013591420976733,0.0425498321126169,0.59198618194415,0.575687563749735,0.570764073054791,0.641777891110641,1.09711234175867,-0.0349290399000115,-0.0436684226604505,-0.0132707352402579,0.0426546833712612,-0.0799529502384785,-0.0744069544930193,-0.238654601818922,0.095571001574854,1
27178352,-0.0104654864403916,-0.0163054135800161,-0.00422475866003931,-0.0217182666867342,-0.0470048367128396,0.0018715387866276,0.59679748272743,0.580017734454687,0.583273455091318,0.649475972363888,1.09376175940813,-0.0371636633342577,-0.0217568055959122,-0.046982676394654,0.00236367000093249,-0.0840815643329566,-0.0936765677257803,-0.257654016749584,0.0812822559913444,1
27228352,-0.0128329412983031,-0.0193593481830531,-0.00380809806646082,-0.0909966190186522,-0.138322601004788,0.0122616195700708,0.612195411871593,0.588451090248334,0.591932313749243,0.651240611750454,1.09027066823547,-0.0404162037315017,-0.0912683739472221,-0.13815386304976,0.0140382776144431,-0.0864077751941531,-0.109227576655507,-0.266559673485545,0.0692619939035397,1
27278352,-0.0173248081473711,-0.0231086089393049,-0.00379569791203252,-0.149718160240319,1.14115750217917e-05,0.0588285530594945,0.636531312191745,0.600348641515964,0.597340291598166,0.647995825041101,1.08628053730907,-0.047284040470244,-0.151077639685445,0.00103055227361078,0.0588352354603164,-0.0878509377682491,-0.121035467678265,-0.266878160906763,0.0632073641820128,1
27328352,-0.0205222536254779,-0.0228471887606894,-0.00567393868619454,0.0631416209794012,-0.0113574825816048,-0.0598029583626347,0.641668953654857,0.608662092690286,0.61731536414041,0.639673854343836,1.08155376390695,-0.0609606299880941,0.0645025746805315,-0.0125822963230426,-0.0595728482929115,-0.0788157751552943,-0.124619565210518,-0.262096652226661,0.0587447535814578,1
27378352,-0.0194995392548203,-0.0234281481404573,-0.00790060593696107,-0.00986309444762818,-0.0338226891471011,-0.0356436982745568,0.638305735727944,0.615388528544111,0.643740647851865,0.629103740859254,1.07394020712856,-0.101319626486343,-0.00904348791203332,-0.0345112507646737,-0.0349870383622288,-0.0778346518222702,-0.132944939599702,-0.228941122992012,0.0682654740645948,1
27428352,-0.0181267728150883,-0.0232841614581373,-0.00864694229115166,0.0732552457204892,0.0794191119006738,0.0230447781579735,0.642233401435171,0.614921528567547,0.656462777145963,0.619458751421584,1.06557697779302,-0.14369863809384,0.0727521829488503,0.0798237690787853,0.0216073158363304,-0.0841782591872601,-0.147210265084839,-0.173045578461216,0.0927383938331316,1
27478352,-0.014584184440106,-0.02042372441457,-0.00943451733266255,0.0735615617900223,0.0228700812099777,-0.0207272500982874,0.650788065740079,0.609889373094071,0.660488501524743,0.610400871569328,1.05429395181661,-0.193945129008375,0.0739917161435151,0.0225653697154577,-0.0210629682988999,-0.091683546029353,-0.163656539699931,-0.101824914214356,0.127054722717278,1
